"","sample","dye","well","date","total_cells","Dim1","Dim2","description"
"1","media","both.fcs","A08",20220623,670217,-0.292275271289817,-0.315342919098122,"Media"
"2","media","both.fcs","A08",20220630,708687,-0.245128665044846,-0.314013584307553,"Media"
"3","mediadup","both.fcs","A10",20220630,527134,-0.331113295136581,-0.280609103737968,"Media"
"4","1","both.fcs","B06",20220630,1362,-0.334402951221907,0.282821806706475,"Pre-backwash"
"5","1","both.fcs","B08",20220623,14355,-0.0587648845831503,-0.100172009139694,"Pre-backwash"
"6","1dup","both.fcs","B08",20220630,1274,-0.338239649845574,0.288951748506191,"Pre-backwash"
"7","1dup","both.fcs","B10",20220623,14047,-0.0379549923892544,-0.120289655247562,"Pre-backwash"
"8","2","both.fcs","B10",20220630,159818,0.0826482579360379,0.0328509966336901,"Air scour"
"9","2dup","both.fcs","B12",20220630,161257,0.0833317049266877,0.0295814866973333,"Air scour"
"10","2","both.fcs","C02",20220623,408599,0.191763639591402,-0.147815797355534,"Air scour"
"11","3","both.fcs","C02",20220630,262865,0.156462929107169,0.00424357261930285,"Low-rate backwash + air scour"
"12","2dup","both.fcs","C04",20220623,202465,0.172652415567751,-0.113440050718031,"Air scour"
"13","3dup","both.fcs","C04",20220630,260542,0.0751556740825225,0.0145194499813692,"Low-rate backwash + air scour"
"14","3","both.fcs","C06",20220623,334675,0.112954743055896,-0.00631496813748173,"Low-rate backwash + air scour"
"15","4","both.fcs","C06",20220630,325952,0.0724938571512034,0.0220495955279565,"High-rate backwash"
"16","3dup","both.fcs","C08",20220623,329870,0.155446485247976,-0.0329757407688403,"Low-rate backwash + air scour"
"17","4dup","both.fcs","C08",20220630,331707,0.123992747154409,-0.0121250875374796,"High-rate backwash"
"18","4","both.fcs","C10",20220623,371185,0.174899337585672,-0.0231504905651179,"High-rate backwash"
"19","5","both.fcs","C10",20220630,30235,0.101518473663142,0.12312712766743,"Post-backwash"
"20","4dup","both.fcs","C12",20220623,377375,0.170187747382891,-0.050337271541403,"High-rate backwash"
"21","5dup","both.fcs","C12",20220630,30425,0.105520619147292,0.0443736777901702,"Post-backwash"
"22","5","both.fcs","D02",20220623,18492,0.136902160465503,0.0743320512146911,"Post-backwash"
"23","5dup","both.fcs","D04",20220623,19013,0.171656691939948,-0.0209522148537392,"Post-backwash"
"24","media","both.fcs","D04",20220707,704776,-0.243869765899692,-0.3065659476135,"Media"
"25","mediadup","both.fcs","D06",20220707,470007,-0.165611083220361,-0.242584910646611,"Media"
"26","1","both.fcs","D08",20220707,2246,-0.328818276833489,0.294534742813726,"Pre-backwash"
"27","1dup","both.fcs","D10",20220707,1709,-0.328010510597601,0.285619783183617,"Pre-backwash"
"28","2","both.fcs","D12",20220707,106152,0.088803710461724,0.0622533210513419,"Air scour"
"29","2dup","both.fcs","E02",20220707,107232,0.0801034304381118,0.0515340496478953,"Air scour"
"30","3","both.fcs","E04",20220707,253372,0.105195890317117,0.0555452715628871,"Low-rate backwash + air scour"
"31","3dup","both.fcs","E06",20220707,257343,0.10916177373387,0.04861252321694,"Low-rate backwash + air scour"
"32","4","both.fcs","E08",20220707,241559,0.146998293168933,0.0440362402524061,"High-rate backwash"
"33","4dup","both.fcs","E10",20220707,235922,0.0987673836547556,0.0547873767758408,"High-rate backwash"
"34","5","both.fcs","E12",20220707,31442,-0.00467858120277776,0.137342279762094,"Post-backwash"
"35","5dup","both.fcs","F02",20220707,32731,-0.00775003851496405,0.135572649657278,"Post-backwash"
